City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Mogadishu,SO,2020-06-15 00:34:58,2.04,45.34,78.55,80,100,18.37
70,Vidim,RU,2020-06-15 00:37:24,56.41,103.11,70.05,55,64,6.67
71,Los Llanos De Aridane,ES,2020-06-15 00:37:25,28.66,-17.92,71.6,88,93,8.05
72,Xining,CN,2020-06-15 00:37:25,36.62,101.77,60.8,61,100,0.92
73,Hobart,AU,2020-06-15 00:37:25,-42.88,147.33,57.0,62,40,10.29
74,Vestmannaeyjar,IS,2020-06-15 00:37:25,63.44,-20.27,48.94,94,100,26.11
75,Namibe,AO,2020-06-15 00:37:25,-15.2,12.15,68.54,66,0,1.77
76,Richards Bay,ZA,2020-06-15 00:37:26,-28.78,32.04,53.17,49,0,4.68
77,Tuktoyaktuk,CA,2020-06-15 00:37:26,69.45,-133.04,68.0,42,20,12.75
78,Maumere,ID,2020-06-15 00:37:26,-8.62,122.21,82.18,70,28,5.68
79,Kapaa,US,2020-06-15 00:37:27,22.08,-159.32,82.4,69,40,16.11
80,Yellowknife,CA,2020-06-15 00:34:54,62.46,-114.35,68.0,40,75,19.46
81,Bluff,NZ,2020-06-15 00:37:27,-46.6,168.33,52.99,69,100,18.25
82,Kruisfontein,ZA,2020-06-15 00:37:27,-34.0,24.73,53.83,90,100,8.12
83,Port Macquarie,AU,2020-06-15 00:37:27,-31.43,152.92,66.0,67,0,5.82
84,Ena,JP,2020-06-15 00:37:28,35.45,137.41,87.01,63,43,5.66
85,Galway,IE,2020-06-15 00:37:28,53.27,-9.05,57.2,87,75,2.24
86,Shache,CN,2020-06-15 00:37:28,38.42,77.24,74.89,26,40,4.21
87,Necochea,AR,2020-06-15 00:34:34,-38.55,-58.74,39.99,78,0,5.01
88,Harper,LR,2020-06-15 00:37:28,4.38,-7.72,78.26,86,100,7.87
89,Samarai,PG,2020-06-15 00:37:29,-10.62,150.67,80.51,85,9,15.59
90,Kisangani,CD,2020-06-15 00:37:29,0.52,25.2,69.82,87,87,2.17
91,Mildura,AU,2020-06-15 00:37:29,-34.2,142.15,57.99,71,75,10.29
92,Bambanglipuro,ID,2020-06-15 00:37:29,-7.95,110.28,82.26,80,7,7.05
93,Mangai,CD,2020-06-15 00:37:30,-4.05,19.53,69.91,72,58,0.96
94,Norman Wells,CA,2020-06-15 00:37:30,65.28,-126.83,68.0,49,75,14.99
95,Atuona,PF,2020-06-15 00:37:30,-9.8,-139.03,80.46,73,5,13.44
96,Les Trois-Bassins,RE,2020-06-15 00:37:30,-21.1,55.3,69.8,83,12,14.99
97,Korla,CN,2020-06-15 00:37:30,41.76,86.15,77.76,20,0,13.4
98,Fortuna,US,2020-06-15 00:32:51,40.6,-124.16,64.99,68,40,14.99
99,Trud,BG,2020-06-15 00:37:31,42.23,24.73,62.6,93,75,4.7
100,Hailar,CN,2020-06-15 00:37:31,49.2,119.7,66.33,43,22,7.99
101,Campoverde,PE,2020-06-15 00:37:31,-8.48,-74.81,76.3,78,67,1.3
102,Buncrana,IE,2020-06-15 00:37:31,55.13,-7.45,52.61,93,100,3.29
103,Jinzhou,CN,2020-06-15 00:37:32,41.11,121.14,85.82,23,0,15.35
104,Altay,CN,2020-06-15 00:35:46,47.87,88.12,68.16,39,0,1.66
105,Ribeira Grande,PT,2020-06-15 00:37:32,38.52,-28.7,61.74,79,82,12.68
106,Roma,US,2020-06-15 00:37:32,43.21,-75.46,64.0,51,90,3.36
107,Yangcun,CN,2020-06-15 00:37:32,39.36,117.06,91.0,26,23,4.47
108,Portland,US,2020-06-15 00:37:33,45.52,-122.68,69.01,40,75,5.82
109,Chardara,KZ,2020-06-15 00:37:33,41.25,67.97,73.89,45,0,7.99
110,Ilulissat,GL,2020-06-15 00:34:56,69.22,-51.1,33.8,74,100,9.17
111,Dikson,RU,2020-06-15 00:33:04,73.51,80.55,31.75,96,0,11.32
112,Dorado,PR,2020-06-15 00:37:33,18.46,-66.27,84.2,70,20,11.41
113,Havoysund,NO,2020-06-15 00:37:34,71.0,24.66,44.6,75,75,25.28
114,Thompson,CA,2020-06-15 00:37:34,55.74,-97.86,84.2,37,40,6.93
115,Hithadhoo,MV,2020-06-15 00:36:32,-0.6,73.08,83.93,74,20,10.38
116,Vardo,NO,2020-06-15 00:37:34,70.37,31.11,46.94,88,100,9.04
117,Diamantino,BR,2020-06-15 00:37:35,-14.41,-56.45,70.43,87,0,4.83
118,Nexo,DK,2020-06-15 00:37:35,55.06,15.13,53.6,93,0,8.05
119,Luba,GQ,2020-06-15 00:35:20,3.46,8.55,77.0,88,20,3.36
120,Guerrero Negro,MX,2020-06-15 00:37:35,27.98,-114.06,68.41,66,0,19.8
121,Moree,AU,2020-06-15 00:37:35,-29.47,149.85,53.6,71,0,8.05
122,Kulhudhuffushi,MV,2020-06-15 00:37:36,6.62,73.07,84.72,77,100,16.04
123,Petropavlovsk-Kamchatskiy,RU,2020-06-15 00:37:36,53.05,158.65,50.0,66,92,8.95
124,Ayr,GB,2020-06-15 00:34:25,55.46,-4.63,60.01,93,40,3.36
125,Qaanaaq,GL,2020-06-15 00:37:36,77.48,-69.36,40.8,68,0,3.06
126,Bathsheba,BB,2020-06-15 00:37:36,13.22,-59.52,82.4,74,40,19.46
127,Alice Springs,AU,2020-06-15 00:36:27,-23.7,133.88,57.2,50,10,8.05
128,Tateyama,JP,2020-06-15 00:37:37,34.98,139.87,84.0,83,75,18.34
129,Boyabat,TR,2020-06-15 00:37:37,41.47,34.77,58.03,77,14,0.78
130,Tiksi,RU,2020-06-15 00:37:37,71.69,128.87,53.1,65,86,14.58
131,Davidson,US,2020-06-15 00:37:37,36.15,-86.78,78.8,44,20,6.93
132,Huarmey,PE,2020-06-15 00:37:38,-10.07,-78.15,63.48,82,6,6.35
133,Saint-Philippe,RE,2020-06-15 00:37:38,-21.36,55.77,69.8,83,35,14.99
134,Ancud,CL,2020-06-15 00:34:51,-41.87,-73.82,48.0,100,90,1.12
135,Saldanha,ZA,2020-06-15 00:37:38,-33.01,17.94,55.4,87,0,1.12
136,Cayenne,GF,2020-06-15 00:34:23,4.93,-52.33,78.8,88,100,2.93
137,Hasaki,JP,2020-06-15 00:37:38,35.73,140.83,84.99,69,75,6.93
138,Kangaatsiaq,GL,2020-06-15 00:37:39,68.31,-53.46,33.26,91,100,16.28
139,Imperia,IT,2020-06-15 00:37:39,43.97,7.78,66.0,93,20,5.82
140,Fort Nelson,CA,2020-06-15 00:35:22,58.81,-122.7,51.8,93,90,12.75
141,Camalu,MX,2020-06-15 00:37:39,30.85,-116.07,69.01,47,0,8.99
142,Pacific Grove,US,2020-06-15 00:37:39,36.62,-121.92,63.0,77,90,11.41
143,Faanui,PF,2020-06-15 00:37:40,-16.48,-151.75,79.52,79,99,8.52
144,Etoka,RU,2020-06-15 00:37:40,43.92,43.05,62.6,88,93,2.24
145,Ola,RU,2020-06-15 00:33:05,59.58,151.28,54.88,65,25,7.09
146,Shimoda,JP,2020-06-15 00:37:40,34.67,138.95,78.8,83,75,18.34
147,Khatanga,RU,2020-06-15 00:37:40,71.97,102.5,60.49,33,46,12.57
148,Rodrigues Alves,BR,2020-06-15 00:37:41,-7.74,-72.65,72.46,97,100,2.48
149,Coihaique,CL,2020-06-15 00:37:41,-45.58,-72.07,39.2,93,40,5.82
150,Padang,ID,2020-06-15 00:33:38,-0.95,100.35,82.11,74,4,2.28
151,Igarka,RU,2020-06-15 00:37:41,67.47,86.58,51.82,65,100,13.06
152,Nanortalik,GL,2020-06-15 00:37:41,60.14,-45.24,37.87,85,96,18.39
153,Sarandi,BR,2020-06-15 00:37:42,-23.44,-51.87,63.14,86,0,9.75
154,Port Elizabeth,ZA,2020-06-15 00:37:42,-33.92,25.57,59.0,77,40,12.75
155,Iwanai,JP,2020-06-15 00:37:42,42.97,140.51,67.95,82,81,7.02
156,Riyadh,SA,2020-06-15 00:37:42,24.69,46.72,84.2,28,0,3.42
157,Chokurdakh,RU,2020-06-15 00:37:42,70.63,147.92,77.74,31,100,14.14
158,Constitucion,CL,2020-06-15 00:35:47,-35.33,-72.42,50.68,64,31,4.09
159,Hamilton,US,2020-06-15 00:33:47,39.18,-84.53,71.6,40,1,12.75
160,Goderich,CA,2020-06-15 00:35:12,43.75,-81.72,57.99,77,35,7.7
161,Giyani,ZA,2020-06-15 00:37:43,-23.3,30.72,50.79,70,0,3.29
162,Ixtapa,MX,2020-06-15 00:37:43,20.7,-105.2,84.2,62,75,9.17
163,Kenai,US,2020-06-15 00:37:44,60.55,-151.26,60.8,66,1,11.41
164,Bredasdorp,ZA,2020-06-15 00:37:44,-34.53,20.04,55.4,87,100,1.95
165,Novobirilyussy,RU,2020-06-15 00:37:44,56.95,90.67,50.43,80,99,6.42
166,Zabid,YE,2020-06-15 00:37:44,14.2,43.32,87.67,67,54,5.91
167,Socorro,US,2020-06-15 00:34:07,31.65,-106.3,96.8,13,40,9.17
168,Malabuyoc,PH,2020-06-15 00:37:45,9.65,123.33,87.8,66,75,4.7
169,Sabang,ID,2020-06-15 00:37:45,5.89,95.32,83.66,73,100,9.44
170,Tarimoro,MX,2020-06-15 00:37:45,20.28,-100.75,82.4,18,20,5.82
171,Kodiak,US,2020-06-15 00:37:45,57.79,-152.41,55.4,71,75,10.29
